trafic sncf entre 1963 et 1980;;;;;;;;;;;;;;;;
;JAN;FEB;MAR;AVR;MAI;JUN;JUL;AOU;SEP;OCT;NOV;DEC;;;Date;Traffic
;;;;;;;;;;;;;;;mars-73;2279
;;;;;;;;;;;;;;;avr-73;2661
;;;;;;;;;;;;;;;mai-73;2281
;;;;;;;;;;;;;;;juin-73;2929
;;;;;;;;;;;;;;;juil-73;3089
;;;;;;;;;;;;;;;ao–t-73;2803
;;;;;;;;;;;;;;;sept-73;2296
;;;;;;;;;;;;;;;oct-73;2210
;;;;;;;;;;;;;;;nov-73;2135
;;;;;;;;;;;;;;;d‚c-73;2862
;;;;;;;;;;;;;;;janv-74;2223
;;;;;;;;;;;;;;;f‚vr-74;2248
;;;;;;;;;;;;;;;mars-74;2421
;;;;;;;;;;;;;;;avr-74;2710
;;;;;;;;;;;;;;;mai-74;2505
;;;;;;;;;;;;;;;juin-74;3021
;;;;;;;;;;;;;;;juil-74;3327
;;;;;;;;;;;;;;;ao–t-74;3044
;;;;;;;;;;;;;;;sept-74;2607
;;;;;;;;;;;;;;;oct-74;2525
;;;;;;;;;;;;;;;nov-74;2160
;;;;;;;;;;;;;;;d‚c-74;2876
;;;;;;;;;;;;;;;janv-75;2481
;;;;;;;;;;;;;;;f‚vr-75;2428
;;;;;;;;;;;;;;;mars-75;2596
;;;;;;;;;;;;;;;avr-75;2923
;;;;;;;;;;;;;;;mai-75;2795
;;;;;;;;;;;;;;;juin-75;3287
;;;;;;;;;;;;;;;juil-75;3598
;;;;;;;;;;;;;;;ao–t-75;3118
;;;;;;;;;;;;;;;sept-75;2875
;;;;;;;;;;;;;;;oct-75;2754
;;;;;;;;;;;;;;;nov-75;2588
;;;;;;;;;;;;;;;d‚c-75;3266
;;;;;;;;;;;;;;;janv-76;2667
;;;;;;;;;;;;;;;f‚vr-76;2668
;;;;;;;;;;;;;;;mars-76;2804
;;;;;;;;;;;;;;;avr-76;2806
;;;;;;;;;;;;;;;mai-76;2976
;;;;;;;;;;;;;;;juin-76;3430
;;;;;;;;;;;;;;;juil-76;3705
;;;;;;;;;;;;;;;ao–t-76;3053
;;;;;;;;;;;;;;;sept-76;2764
;;;;;;;;;;;;;;;oct-76;2802
;;;;;;;;;;;;;;;nov-76;2707
;;;;;;;;;;;;;;;d‚c-76;3307
;;;;;;;;;;;;;;;janv-77;2706
;;;;;;;;;;;;;;;f‚vr-77;2586
;;;;;;;;;;;;;;;mars-77;2796
;;;;;;;;;;;;;;;avr-77;2978
;;;;;;;;;;;;;;;mai-77;3053
;;;;;;;;;;;;;;;juin-77;3468
;;;;;;;;;;;;;;;juil-77;3649
;;;;;;;;;;;;;;;ao–t-77;3095
;;;;;;;;;;;;;;;sept-77;2839
;;;;;;;;;;;;;;;oct-77;2966
;;;;;;;;;;;;;;;nov-77;2868
;;;;;;;;;;;;;;;d‚c-77;3375
;;;;;;;;;;;;;;;janv-78;2820
;;;;;;;;;;;;;;;f‚vr-78;2857
;;;;;;;;;;;;;;;mars-78;3306
;;;;;;;;;;;;;;;avr-78;3333
;;;;;;;;;;;;;;;mai-78;3141
;;;;;;;;;;;;;;;juin-78;3512
;;;;;;;;;;;;;;;juil-78;3744
;;;;;;;;;;;;;;;ao–t-78;3179
;;;;;;;;;;;;;;;sept-78;2984
;;;;;;;;;;;;;;;oct-78;2950
;;;;;;;;;;;;;;;nov-78;2896
;;;;;;;;;;;;;;;d‚c-78;3611
;;;;;;;;;;;;;;;janv-79;3313
;;;;;;;;;;;;;;;f‚vr-79;2644
;;;;;;;;;;;;;;;mars-79;2872
;;;;;;;;;;;;;;;avr-79;3267
;;;;;;;;;;;;;;;mai-79;3391
;;;;;;;;;;;;;;;juin-79;3682
;;;;;;;;;;;;;;;juil-79;3937
;;;;;;;;;;;;;;;ao–t-79;3284
;;;;;;;;;;;;;;;sept-79;2849
;;;;;;;;;;;;;;;oct-79;3085
;;;;;;;;;;;;;;;nov-79;3043
;;;;;;;;;;;;;;;d‚c-79;3541
;;;;;;;;;;;;;;;janv-80;2848
;;;;;;;;;;;;;;;f‚vr-80;2913
;;;;;;;;;;;;;;;mars-80;3248
;;;;;;;;;;;;;;;avr-80;3250
;;;;;;;;;;;;;;;mai-80;3375
;;;;;;;;;;;;;;;juin-80;3640
;;;;;;;;;;;;;;;juil-80;3771
;;;;;;;;;;;;;;;ao–t-80;3259
;;;;;;;;;;;;;;;sept-80;3206
;;;;;;;;;;;;;;;oct-80;3269
;;;;;;;;;;;;;;;nov-80;3181
;;;;;;;;;;;;;;;d‚c-80;4008
